location_id,zone,prefix,x,y,z,level,dist_to_bay,StockCode,Description,refined_category,Total_Hits,Cubic_Vol_Fixed,Height_Fixed,CurrentLocation,coi_score
FB-01-10,COLD_ROOM_HDL,FB,-45,0.0,-13.5,0,2.5,4502699,FROZEN PORK SHEET BELLY 48X22(XL),Food-Grade,89,0.7648,0.6373333333333334,FA-06-10,0.008583613916947251
FC-01-10,COLD_ROOM_HDL,FC,-40,0.0,-13.5,0,2.5,15110001,(1 KG) JJJ FORTUNE BAG WITH FISH ROE,Food-Grade,62,1.0150000000000001,0.8458333333333334,FA-16-10,0.01634460547504026
FB-02-10,COLD_ROOM_HDL,FB,-45,0.0,-12.0,0,4.0,17100004,(300G) HH TOFU STUFFED WITH SOYMILK (SMALL),Food-Grade,56,1.0250000000000001,0.8541666666666669,FC-13-20,0.018270944741532978
FC-02-10,COLD_ROOM_HDL,FC,-40,0.0,-12.0,0,4.0,15130001,(5PCS) OF SWIRL FRIED EGGS,Food-Grade,97,1.8,1.5,FC-01-40,0.018537590113285273
FB-01-20,COLD_ROOM_HDL,FB,-45,1.6,-13.5,1,4.1,4502700,PORK COLLAR,Food-Grade,87,1.7000000000000002,1.416666666666667,FA-01-20,0.019517795637198625
FC-01-20,COLD_ROOM_HDL,FC,-40,1.6,-13.5,1,4.1,16100003,(430G)FTW CRISPY MILK ROLL,Food-Grade,83,1.8,1.5,FA-14-10,0.021660649819494587
FB-03-10,COLD_ROOM_HDL,FB,-45,0.0,-10.5,0,5.5,PMPKIN-ORI,ORIGINAL TASTE PUMPKIN PIE,Food-Grade,46,1.026,0.8550000000000001,FA-10-10,0.02225596529284165
FC-03-10,COLD_ROOM_HDL,FC,-40,0.0,-10.5,0,5.5,17100003,(2.5KG) FX FROZEN BEANCURD,Food-Grade,78,1.8,1.5,FA-13-50,0.023047375160051217
FB-02-20,COLD_ROOM_HDL,FB,-45,1.6,-12.0,1,5.6,14140007,(300G) AN GLUTINOUS RICE BALL WITH BROWN SUGAR,Food-Grade,42,1.008,0.8400000000000001,FA-12-50,0.023942992874109264
FC-02-20,COLD_ROOM_HDL,FC,-40,1.6,-12.0,1,5.6,17100005,(520G) HH TOFU STUFFED WITH SOYMILK,Food-Grade,41,1.008,0.8400000000000001,FC-12-20,0.024525547445255473
FB-01-30,COLD_ROOM_HDL,FB,-45,3.2,-13.5,2,5.7,15100001,(150G) OF FROZEN SHRIMP PASTE,Food-Grade,72,1.8,1.5,FD-18-10,0.024965325936199725
FC-01-30,COLD_ROOM_HDL,FC,-40,3.2,-13.5,2,5.7,4525021,SWIRL FRIED EGGS,Food-Grade,36,1.016,0.8466666666666667,FA-03-50,0.02814404432132964
FB-04-10,COLD_ROOM_HDL,FB,-45,0.0,-9.0,0,7.0,DS-DF(S),DEEP-FRIED DOUGH STICKS,Food-Grade,33,1.034,0.8616666666666667,FC-08-30,0.031238670694864048
FC-04-10,COLD_ROOM_HDL,FC,-40,0.0,-9.0,0,7.0,14140008,(300G) HLY EGG YOLK GLUTINUOS RICE CAKE,Food-Grade,30,1.0030000000000001,0.8358333333333334,FB-13-20,0.033322259136212624
